,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Log_Discount_offered,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Cost_of_the_Product_std,Weight_in_gms_std
2703,2704,B,Ship,3,4,185,2,low,0,62,2849,1,4.127134385045092,0,1,0,0,0,0,0,1,0,1,0,-0.5217305730937133,-0.48090304563926595
2704,2705,C,Ship,3,3,257,3,low,1,64,3103,1,4.1588830833596715,0,0,1,0,0,0,0,1,0,1,0,0.9734880746336577,-0.32562472556438593
2705,2706,F,Ship,3,3,253,5,low,0,63,3788,1,4.143134726391533,0,0,0,0,1,0,0,1,0,1,0,0.8904203719821371,0.09313767306275103
2706,2707,D,Ship,4,3,174,3,low,0,5,1502,1,1.6094379124341003,0,0,0,1,0,0,0,1,0,1,0,-0.750166755385395,-1.3043672076111688
2707,2708,F,Ship,2,1,200,3,medium,1,34,2199,1,3.5263605246161616,0,0,0,0,1,0,0,1,0,0,1,-0.21022668815051102,-0.878268825358447
2708,2709,A,Ship,3,1,150,3,medium,0,8,1745,1,2.0794415416798357,1,0,0,0,0,0,0,1,0,0,1,-1.2485729712945186,-1.155813539193075
2709,2710,B,Ship,3,2,137,3,medium,0,9,1347,1,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,1,-1.5185430049119606,-1.3991236627749735
2710,2711,C,Ship,3,1,181,3,medium,1,29,2981,1,3.367295829986474,0,0,1,0,0,0,0,1,0,0,1,-0.6047982757452339,-0.40020722575783224
2711,2712,F,Ship,5,2,246,2,medium,1,13,2652,1,2.5649493574615367,0,0,0,0,1,0,0,1,0,0,1,0.745051892341976,-0.6013354434926177
2712,2713,D,Ship,3,3,237,5,low,1,48,2057,1,3.871201010907891,0,0,0,1,0,0,0,1,0,1,0,0.5581495613760546,-0.9650779649278681
2713,2714,F,Road,3,5,226,3,medium,1,55,2465,1,4.007333185232471,0,0,0,0,1,0,1,0,0,0,1,0.329713379084373,-0.7156545216579822
2714,2715,A,Road,4,4,225,3,low,1,51,2892,1,3.9318256327243257,1,0,0,0,0,0,1,0,0,1,0,0.3089464534214928,-0.4546157709809201
2715,2716,B,Road,3,2,268,2,low,1,20,2731,1,2.995732273553991,0,1,0,0,0,0,1,0,0,1,0,1.2019242569253394,-0.5530402179575172
2716,2717,C,Road,4,3,146,3,low,1,41,1140,1,3.713572066704308,0,0,1,0,0,0,1,0,0,1,0,-1.3316406739460394,-1.5256693803163128
2717,2718,F,Road,4,5,159,3,low,1,2,1048,1,0.6931471805599453,0,0,0,0,1,0,1,0,0,1,0,-1.0616706403285974,-1.5819119214457968
2718,2719,D,Road,3,1,135,3,low,0,38,1829,1,3.6375861597263857,0,0,0,1,0,0,1,0,0,1,0,-1.560076856237721,-1.1044616538139809
2719,2720,F,Road,3,2,134,2,medium,0,45,1946,1,3.8066624897703196,0,0,0,0,1,0,1,0,0,0,1,-1.5808437819006012,-1.0329358134645283
2720,2721,A,Road,4,3,210,3,low,1,3,2742,1,1.0986122886681098,1,0,0,0,0,0,1,0,0,1,0,-0.0025574315217094822,-0.5463155663007311
2721,2722,B,Road,4,4,238,3,low,0,13,2042,1,2.5649493574615367,0,1,0,0,0,0,1,0,0,1,0,0.5789164870389348,-0.9742479444598492
2722,2723,C,Road,4,3,214,4,low,1,34,3446,1,3.5263605246161616,0,0,1,0,0,0,1,0,0,1,0,0.08051027112981113,-0.11593786026641809
2723,2724,F,Road,4,2,204,4,low,0,35,2725,1,3.5553480614894135,0,0,0,0,1,0,1,0,0,1,0,-0.1271589854989904,-0.5567082097703097
2724,2725,D,Road,4,1,227,3,low,1,5,3100,1,1.6094379124341003,0,0,0,1,0,0,1,0,0,1,0,0.3504803047472531,-0.32745872147078214
2725,2726,F,Road,4,3,253,3,high,0,18,2849,1,2.8903717578961645,0,0,0,0,1,0,1,0,1,0,0,0.8904203719821371,-0.48090304563926595
2726,2727,A,Road,2,3,126,4,high,0,3,1364,1,1.0986122886681098,1,0,0,0,0,0,1,0,1,0,0,-1.7469791872036422,-1.388731019305395
2727,2728,B,Road,4,4,208,2,high,0,20,2759,1,2.995732273553991,0,1,0,0,0,0,1,0,1,0,0,-0.044091282847469784,-0.5359229228311525
2728,2729,C,Road,4,4,179,3,low,1,48,1943,1,3.871201010907891,0,0,1,0,0,0,1,0,0,1,0,-0.6463321270709942,-1.0347698093709246
2729,2730,F,Road,3,1,132,2,medium,1,62,1909,1,4.127134385045092,0,0,0,0,1,0,1,0,0,0,1,-1.6223776332263613,-1.0555550963100817
2730,2731,D,Road,3,4,144,3,low,1,56,1496,1,4.02535169073515,0,0,0,1,0,0,1,0,0,1,0,-1.3731745252717995,-1.3080351994239614
2731,2732,F,Road,3,3,236,2,medium,0,58,3360,1,4.060443010546419,0,0,0,0,1,0,1,0,0,0,1,0.5373826357131745,-0.16851240958310973
2732,2733,A,Road,4,4,235,3,low,0,17,3715,1,2.833213344056216,1,0,0,0,0,0,1,0,0,1,0,0.5166157100502944,0.04851043934044301
2733,2734,B,Road,4,5,254,3,low,1,29,3885,1,3.367295829986474,0,1,0,0,0,0,1,0,0,1,0,0.9111872976450173,0.15243687403622883
2734,2735,C,Road,3,2,144,5,medium,1,43,1027,1,3.7612001156935624,0,0,1,0,0,0,1,0,0,0,1,-1.3731745252717995,-1.5947498927905703
2735,2736,F,Flight,5,1,272,3,medium,1,27,2415,1,3.295836866004329,0,0,0,0,1,1,0,0,0,0,1,1.28499195957686,-0.7462211200979192
2736,2737,D,Flight,3,3,191,4,medium,0,17,3675,1,2.833213344056216,0,0,0,1,0,1,0,0,0,0,1,-0.3971290191164324,0.024057160588493404
2737,2738,F,Flight,5,3,177,4,medium,1,60,1159,1,4.0943445622221,0,0,0,0,1,1,0,0,0,0,1,-0.6878659783967546,-1.5140540729091367
2738,2739,A,Flight,5,4,226,3,low,0,46,3149,1,3.828641396489095,1,0,0,0,0,1,0,0,0,1,0,0.329713379084373,-0.29750345499964387
2739,2740,B,Flight,3,4,132,2,medium,1,12,1493,1,2.4849066497880004,0,1,0,0,0,1,0,0,0,0,1,-1.6223776332263613,-1.3098691953303576
2740,2741,C,Flight,3,1,121,5,low,0,60,1577,1,4.0943445622221,0,0,1,0,0,1,0,0,0,1,0,-1.8508138155180431,-1.2585173099512634
2741,2742,F,Flight,4,2,171,3,low,0,40,1021,1,3.6888794541139363,0,0,0,0,1,1,0,0,0,1,0,-0.8124675323740355,-1.5984178846033628
2742,2743,D,Flight,3,3,178,3,high,1,12,1900,1,2.4849066497880004,0,0,0,1,0,1,0,0,1,0,0,-0.6670990527338744,-1.0610570840292703
2743,2744,F,Flight,4,3,132,4,medium,1,10,1767,1,2.302585092994046,0,0,0,0,1,1,0,0,0,0,1,-1.6223776332263613,-1.1423642358795028
2744,2745,A,Flight,6,4,249,5,medium,1,43,3078,1,3.7612001156935624,1,0,0,0,0,1,0,0,0,0,1,0.8073526693306164,-0.34090802478435445
2745,2746,B,Flight,2,4,159,3,medium,1,47,1547,1,3.8501476017100584,0,1,0,0,0,1,0,0,0,0,1,-1.0616706403285974,-1.2768572690152256
2746,2747,C,Flight,5,2,171,3,high,1,34,1029,1,3.5263605246161616,0,0,1,0,0,1,0,0,1,0,0,-0.8124675323740355,-1.593527228852973
2747,2748,F,Flight,3,3,150,3,low,1,6,1775,1,1.791759469228055,0,0,0,0,1,1,0,0,0,1,0,-1.2485729712945186,-1.1374735801291127
2748,2749,D,Flight,4,4,178,3,low,0,1,1165,1,0.0,0,0,0,1,0,1,0,0,0,1,0,-0.6670990527338744,-1.5103860810963443
2753,2754,F,Flight,3,5,245,4,medium,1,4,2769,1,1.3862943611198906,0,0,0,0,1,1,0,0,0,0,1,0.7242849666790958,-0.5298096031431652
2755,2756,F,Flight,4,4,173,3,medium,0,64,1847,1,4.1588830833596715,0,0,0,0,1,1,0,0,0,0,1,-0.7709336810482751,-1.0934576783756036
2756,2757,A,Flight,3,5,98,3,medium,0,48,1635,1,3.871201010907891,1,0,0,0,0,1,0,0,0,0,1,-2.3284531057642868,-1.2230600557609363
2757,2758,B,Ship,3,1,231,2,low,1,44,3688,1,3.784189633918261,0,1,0,0,0,0,0,1,0,1,0,0.43354800739877375,0.03200447618287702
2759,2760,F,Ship,3,1,206,3,medium,1,28,2892,1,3.332204510175204,0,0,0,0,1,0,0,1,0,0,1,-0.08562513417323009,-0.4546157709809201
2761,2762,F,Ship,3,1,193,2,medium,0,23,2728,1,3.1354942159291497,0,0,0,0,1,0,0,1,0,0,1,-0.3555951677906721,-0.5548742138639134
2762,2763,A,Ship,5,1,263,2,medium,0,4,1092,1,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,1,1.0980896286109385,-1.5550133148186522
2763,2764,B,Ship,3,2,191,4,medium,0,16,2277,1,2.772588722239781,0,1,0,0,0,0,0,1,0,0,1,-0.3971290191164324,-0.8305849317921453
2764,2765,C,Ship,5,4,177,4,medium,1,48,1920,1,3.871201010907891,0,0,1,0,0,0,0,1,0,0,1,-0.6878659783967546,-1.0488304446532954
2765,2766,F,Ship,5,5,226,3,low,1,50,2348,1,3.912023005428146,0,0,0,0,1,0,0,1,0,1,0,0.329713379084373,-0.7871803620074347
2766,2767,D,Ship,3,1,132,2,medium,0,16,1731,1,2.772588722239781,0,0,0,1,0,0,0,1,0,0,1,-1.6223776332263613,-1.1643721867562573
2767,2768,F,Ship,3,1,121,5,low,1,62,1505,1,4.127134385045092,0,0,0,0,1,0,0,1,0,1,0,-1.8508138155180431,-1.3025332117047725
2768,2769,A,Ship,4,2,171,3,low,1,34,1352,1,3.5263605246161616,1,0,0,0,0,0,0,1,0,1,0,-0.8124675323740355,-1.3960670029309799
2769,2770,B,Ship,3,3,178,3,high,1,43,1517,1,3.7612001156935624,0,1,0,0,0,0,0,1,1,0,0,-0.6670990527338744,-1.2951972280791877
2770,2771,C,Ship,4,4,132,4,medium,0,44,1692,1,3.784189633918261,0,0,1,0,0,0,0,1,0,0,1,-1.6223776332263613,-1.1882141335394083
2771,2772,F,Ship,6,5,249,5,medium,1,26,3897,1,3.258096538021482,0,0,0,0,1,0,0,1,0,0,1,0.8073526693306164,0.1597728576618137
2772,2773,D,Ship,2,3,159,3,medium,0,39,1477,1,3.6635616461296463,0,0,0,1,0,0,0,1,0,0,1,-1.0616706403285974,-1.3196505068311373
2773,2774,F,Ship,5,5,171,3,high,1,14,1554,1,2.6390573296152584,0,0,0,0,1,0,0,1,1,0,0,-0.8124675323740355,-1.2725779452336343
2774,2775,A,Ship,3,1,150,3,low,0,43,1831,1,3.7612001156935624,1,0,0,0,0,0,0,1,0,1,0,-1.2485729712945186,-1.1032389898763835
2775,2776,B,Ship,4,1,178,3,low,1,19,1906,1,2.9444389791664403,0,1,0,0,0,0,0,1,0,1,0,-0.6670990527338744,-1.057389092216478
2780,2781,A,Ship,3,2,245,4,medium,1,60,2178,1,4.0943445622221,1,0,0,0,0,0,0,1,0,0,1,0.7242849666790958,-0.8911067967032206
2782,2783,C,Ship,4,4,173,3,medium,0,61,1609,1,4.110873864173311,0,0,1,0,0,0,0,1,0,0,1,-0.7709336810482751,-1.2389546869497037
2783,2784,F,Ship,3,2,98,3,medium,0,60,1057,1,4.0943445622221,0,0,0,0,1,0,0,1,0,0,1,-2.3284531057642868,-1.5764099337266082
2784,2785,D,Ship,3,1,231,2,low,1,24,3811,1,3.1780538303479458,0,0,0,1,0,0,0,1,0,1,0,0.43354800739877375,0.10719830834512206
2786,2787,A,Ship,3,5,206,3,medium,1,21,3746,1,3.044522437723423,1,0,0,0,0,0,0,1,0,0,1,-0.08562513417323009,0.06746173037320395
2788,2789,C,Ship,3,5,193,2,medium,0,12,3730,1,2.4849066497880004,0,0,1,0,0,0,0,1,0,0,1,-0.3555951677906721,0.05768041887242411
2789,2790,F,Ship,5,2,263,2,medium,0,51,1657,1,3.9318256327243257,0,0,0,0,1,0,0,1,0,0,1,1.0980896286109385,-1.209610752447364
2790,2791,D,Ship,2,5,282,5,low,1,63,1173,1,4.143134726391533,0,0,0,1,0,0,0,1,0,1,0,1.4926612162056616,-1.5054954253459543
2791,2792,F,Ship,5,4,193,3,low,1,55,2758,1,4.007333185232471,0,0,0,0,1,0,0,1,0,1,0,-0.3555951677906721,-0.5365342547999513
2792,2793,A,Ship,4,4,171,3,medium,0,11,1594,1,2.3978952727983707,1,0,0,0,0,0,0,1,0,0,1,-0.8124675323740355,-1.2481246664816847
2793,2794,B,Ship,3,5,212,3,low,0,19,2703,1,2.9444389791664403,0,1,0,0,0,0,0,1,0,1,0,0.038976419804050824,-0.570157513083882
2794,2795,C,Ship,2,1,159,2,low,0,44,1213,1,3.784189633918261,0,0,1,0,0,0,0,1,0,1,0,-1.0616706403285974,-1.4810421465940047
2795,2796,F,Ship,3,2,102,4,medium,1,57,1220,1,4.04305126783455,0,0,0,0,1,0,0,1,0,0,1,-2.245385403112766,-1.4767628228124137
2796,2797,D,Ship,3,2,145,2,medium,0,29,1690,1,3.367295829986474,0,0,0,1,0,0,0,1,0,0,1,-1.3524075996089193,-1.1894367974770057
2797,2798,F,Ship,3,1,225,2,high,0,43,2585,1,3.7612001156935624,0,0,0,0,1,0,0,1,1,0,0,0.3089464534214928,-0.6422946854021333
2798,2799,A,Ship,2,1,174,3,medium,0,12,1358,1,2.4849066497880004,1,0,0,0,0,0,0,1,0,0,1,-0.750166755385395,-1.3923990111181874
2799,2800,B,Ship,4,3,223,4,low,0,25,3148,1,3.2188758248682006,0,1,0,0,0,0,0,1,0,1,0,0.2674126020957325,-0.2981147869684426
2800,2801,C,Ship,3,5,185,2,low,0,36,3501,1,3.58351893845611,0,0,1,0,0,0,0,1,0,1,0,-0.5217305730937133,-0.08231460198248737
2801,2802,F,Ship,4,5,245,3,medium,1,6,2717,1,1.791759469228055,0,0,0,0,1,0,0,1,0,0,1,0.7242849666790958,-0.5615988655206996
2802,2803,D,Ship,3,3,99,3,high,1,63,1223,1,4.143134726391533,0,0,0,1,0,0,0,1,1,0,0,-2.3076861801014066,-1.4749288269060175
2803,2804,F,Ship,3,3,141,4,low,0,35,1417,1,3.5553480614894135,0,0,0,0,1,0,0,1,0,1,0,-1.43547530226044,-1.3563304249590618
2804,2805,A,Ship,4,2,222,2,medium,0,16,2518,1,2.772588722239781,1,0,0,0,0,0,0,1,0,0,1,0.24664567643285235,-0.6832539273116489
2805,2806,B,Ship,3,2,192,3,medium,0,64,3233,1,4.1588830833596715,0,1,0,0,0,0,0,1,0,0,1,-0.3763620934535522,-0.24615156962054974
2806,2807,C,Ship,3,1,187,4,medium,1,42,3621,1,3.7376696182833684,0,0,1,0,0,0,0,1,0,0,1,-0.48019672176795297,-0.008954765726638564
2807,2808,F,Ship,4,2,216,2,low,0,26,2431,1,3.258096538021482,0,0,0,0,1,0,0,1,0,1,0,0.12204412245557143,-0.7364398085971393
2808,2809,D,Ship,3,2,146,4,low,1,13,1790,1,2.5649493574615367,0,0,0,1,0,0,0,1,0,1,0,-1.3316406739460394,-1.1283036005971316
2809,2810,F,Ship,3,2,207,2,low,1,20,3419,1,2.995732273553991,0,0,0,0,1,0,0,1,0,1,0,-0.06485820851034994,-0.13244382342398406
2810,2811,A,Ship,4,2,225,2,low,0,6,2010,1,1.791759469228055,1,0,0,0,0,0,0,1,0,1,0,0.3089464534214928,-0.9938105674614088
2811,2812,B,Ship,3,4,230,2,medium,0,15,2302,1,2.70805020110221,0,1,0,0,0,0,0,1,0,0,1,0.41278108173589356,-0.8153016325721768
2812,2813,C,Ship,3,2,173,3,medium,0,37,1990,1,3.6109179126442243,0,0,1,0,0,0,0,1,0,0,1,-0.7709336810482751,-1.0060372068373837
2813,2814,F,Ship,4,4,127,4,high,1,54,1239,1,3.9889840465642745,0,0,0,0,1,0,0,1,1,0,0,-1.7262122615407622,-1.4651475154052376
2814,2815,D,Ship,3,3,214,2,low,1,28,3869,1,3.332204510175204,0,0,0,1,0,0,0,1,0,1,0,0.08051027112981113,0.14265556253544898
2815,2816,F,Ship,4,1,161,3,low,1,59,1454,1,4.07753744390572,0,0,0,0,1,0,0,1,0,1,0,-1.020136789002837,-1.3337111421135084
2816,2817,A,Ship,4,2,262,2,low,0,37,3523,1,3.6109179126442243,1,0,0,0,0,0,0,1,0,1,0,1.0773227029480585,-0.0688652986689151
2817,2818,B,Ship,5,2,157,3,low,1,1,1798,1,0.0,0,1,0,0,0,0,0,1,0,1,0,-1.1032044916543575,-1.1234129448467418
2818,2819,C,Ship,3,1,164,3,medium,0,9,1803,1,2.1972245773362196,0,0,1,0,0,0,0,1,0,0,1,-0.9578360120141965,-1.120356285002748
2819,2820,F,Ship,4,4,174,2,low,0,11,1577,1,2.3978952727983707,0,0,0,0,1,0,0,1,0,1,0,-0.750166755385395,-1.2585173099512634
2820,2821,D,Ship,2,2,188,4,medium,1,39,2424,1,3.6635616461296463,0,0,0,1,0,0,0,1,0,0,1,-0.45942979610507284,-0.7407191323787304
2821,2822,F,Ship,3,1,141,2,low,0,4,1297,1,1.3862943611198906,0,0,0,0,1,0,0,1,0,1,0,-1.43547530226044,-1.4296902612149105
2822,2823,A,Ship,5,5,134,2,medium,1,64,1785,1,4.1588830833596715,1,0,0,0,0,0,0,1,0,0,1,-1.5808437819006012,-1.1313602604411255
2823,2824,B,Ship,2,4,147,2,medium,0,65,1738,1,4.174387269895637,0,1,0,0,0,0,0,1,0,0,1,-1.3108737482831592,-1.1600928629746663
2824,2825,C,Ship,4,1,180,3,medium,1,27,1551,1,3.295836866004329,0,0,1,0,0,0,0,1,0,0,1,-0.6255652014081141,-1.2744119411400305
2825,2826,F,Ship,3,3,225,2,medium,1,55,2259,1,4.007333185232471,0,0,0,0,1,0,0,1,0,0,1,0.3089464534214928,-0.8415889072305226
2826,2827,D,Ship,2,3,172,3,medium,0,11,1522,1,2.3978952727983707,0,0,0,1,0,0,0,1,0,0,1,-0.7917006067111553,-1.292140568235194
2827,2828,F,Ship,6,2,131,5,medium,0,5,1718,1,1.6094379124341003,0,0,0,0,1,0,0,1,0,0,1,-1.6431445588892415,-1.172319502350641
2828,2829,A,Ship,3,1,270,4,low,1,47,3487,1,3.8501476017100584,1,0,0,0,0,0,0,1,0,1,0,1.2434581082510996,-0.09087324954566973
2829,2830,B,Ship,3,4,172,3,low,1,56,1103,1,4.02535169073515,0,1,0,0,0,0,0,1,0,1,0,-0.7917006067111553,-1.5482886631618662
2830,2831,C,Ship,4,5,198,3,medium,1,33,2129,1,3.4965075614664802,0,0,1,0,0,0,0,1,0,0,1,-0.2517605394762713,-0.9210620631743588
2831,2832,F,Ship,4,2,167,3,low,1,21,1637,1,3.044522437723423,0,0,0,0,1,0,0,1,0,1,0,-0.8955352350255561,-1.221837391823339
2832,2833,D,Ship,2,2,168,5,medium,0,1,1885,1,0.0,0,0,0,1,0,0,0,1,0,0,1,-0.8747683093626759,-1.0702270635612514
2833,2834,F,Ship,4,1,165,4,medium,0,34,1831,1,3.5263605246161616,0,0,0,0,1,0,0,1,0,0,1,-0.9370690863513164,-1.1032389898763835
2835,2836,B,Ship,3,3,186,3,low,1,24,3262,1,3.1780538303479458,0,1,0,0,0,0,0,1,0,1,0,-0.5009636474308331,-0.22842294252538625
2836,2837,C,Ship,4,1,151,2,low,0,47,1682,1,3.8501476017100584,0,0,1,0,0,0,0,1,0,1,0,-1.2278060456316384,-1.1943274532273955
2837,2838,F,Ship,3,5,146,3,medium,0,30,1569,1,3.4011973816621555,0,0,0,0,1,0,0,1,0,0,1,-1.3316406739460394,-1.2634079657016533
2838,2839,D,Ship,4,5,232,2,low,1,54,2526,1,3.9889840465642745,0,0,0,1,0,0,0,1,0,1,0,0.4543149330616539,-0.678363271561259
2839,2840,F,Ship,4,1,177,2,low,0,22,1698,1,3.091042453358316,0,0,0,0,1,0,0,1,0,1,0,-0.6878659783967546,-1.1845461417266159
2840,2841,A,Ship,4,4,149,2,medium,0,19,1665,1,2.9444389791664403,1,0,0,0,0,0,0,1,0,0,1,-1.2693398969573988,-1.2047200966969742
2841,2842,B,Ship,4,2,180,3,low,1,3,1518,1,1.0986122886681098,0,1,0,0,0,0,0,1,0,1,0,-0.6255652014081141,-1.294585896110389
2842,2843,C,Ship,5,5,172,2,medium,0,40,1446,1,3.6888794541139363,0,0,1,0,0,0,0,1,0,0,1,-0.7917006067111553,-1.3386017978638982
2843,2844,F,Ship,5,2,160,3,medium,1,44,1054,1,3.784189633918261,0,0,0,0,1,0,0,1,0,0,1,-1.0409037146657172,-1.5782439296330044
2844,2845,D,Ship,3,2,206,2,medium,0,28,2822,1,3.332204510175204,0,0,0,1,0,0,0,1,0,0,1,-0.08562513417323009,-0.4974090087968319
2845,2846,F,Ship,4,5,146,3,low,0,9,1685,1,2.1972245773362196,0,0,0,0,1,0,0,1,0,1,0,-1.3316406739460394,-1.1924934573209993
2846,2847,A,Ship,2,1,257,2,low,0,24,2130,1,3.1780538303479458,1,0,0,0,0,0,0,1,0,1,0,0.9734880746336577,-0.9204507312055601
2847,2848,B,Ship,5,5,219,3,medium,1,27,3430,1,3.295836866004329,0,1,0,0,0,0,0,1,0,0,1,0.1843448994442119,-0.12571917176719793
2848,2849,C,Ship,4,2,274,2,medium,1,55,3416,1,4.007333185232471,0,0,1,0,0,0,0,1,0,0,1,1.3265258109026203,-0.1342778193303803
2849,2850,F,Ship,2,2,177,5,low,1,36,1249,1,3.58351893845611,0,0,0,0,1,0,0,1,0,1,0,-0.6878659783967546,-1.4590341957172501
2850,2851,D,Road,4,3,209,2,medium,1,57,3741,1,4.04305126783455,0,0,0,1,0,0,1,0,0,0,1,-0.023324357184589636,0.06440507052921025
2851,2852,F,Road,4,1,207,2,low,1,2,3242,1,0.6931471805599453,0,0,0,0,1,0,1,0,0,1,0,-0.06485820851034994,-0.24064958190136107
2852,2853,A,Road,4,4,153,3,low,0,27,1613,1,3.295836866004329,1,0,0,0,0,0,1,0,0,1,0,-1.1862721943058783,-1.2365093590745087
2853,2854,B,Road,4,4,158,3,low,0,61,1507,1,4.110873864173311,0,1,0,0,0,0,1,0,0,1,0,-1.0824375659914773,-1.3013105477671751
2854,2855,C,Road,3,4,261,2,medium,0,52,3340,1,3.9512437185814275,0,0,1,0,0,0,1,0,0,0,1,1.0565557772851784,-0.18073904895908455
2856,2857,D,Road,2,3,128,2,medium,0,53,1530,1,3.970291913552122,0,0,0,1,0,0,1,0,0,0,1,-1.705445335877882,-1.287249912484804
2857,2858,F,Road,2,1,178,3,low,1,6,1184,1,1.791759469228055,0,0,0,0,1,0,1,0,0,1,0,-0.6670990527338744,-1.4987707736891682
2858,2859,A,Road,2,4,198,3,low,1,37,2555,1,3.6109179126442243,1,0,0,0,0,0,1,0,0,1,0,-0.2517605394762713,-0.6606346444660955
2859,2860,B,Road,4,3,137,3,medium,1,46,1299,1,3.828641396489095,0,1,0,0,0,0,1,0,0,0,1,-1.5185430049119606,-1.428467597277313
2860,2861,C,Road,4,1,168,2,low,0,41,1515,1,3.713572066704308,0,0,1,0,0,0,1,0,0,1,0,-0.8747683093626759,-1.2964198920167853
2861,2862,F,Road,3,3,248,4,low,0,36,3276,1,3.58351893845611,0,0,0,0,1,0,1,0,0,1,0,0.7865857436677364,-0.2198642949622039
2862,2863,D,Road,5,2,225,3,medium,0,29,2411,1,3.367295829986474,0,0,0,1,0,0,1,0,0,0,1,0.3089464534214928,-0.7486664479731141
2863,2864,F,Road,5,4,239,2,low,1,35,2107,1,3.5553480614894135,0,0,0,0,1,0,1,0,0,1,0,0.5996834127018149,-0.9345113664879311
2864,2865,A,Road,5,4,256,3,low,0,43,3658,1,3.7612001156935624,1,0,0,0,0,0,1,0,0,1,0,0.9527211489707775,0.013664517118914822
2865,2866,B,Road,5,1,109,2,high,1,23,1479,1,3.1354942159291497,0,1,0,0,0,0,1,0,1,0,0,-2.1000169234726047,-1.3184278428935399
2866,2867,C,Road,3,3,274,2,medium,0,59,3436,1,4.07753744390572,0,0,1,0,0,0,1,0,0,0,1,1.3265258109026203,-0.12205117995440548
2867,2868,F,Road,5,4,157,4,low,0,65,1951,1,4.174387269895637,0,0,0,0,1,0,1,0,0,1,0,-1.1032044916543575,-1.0298791536205345
2868,2869,D,Road,3,2,125,3,medium,0,12,1212,1,2.4849066497880004,0,0,0,1,0,0,1,0,0,0,1,-1.7677461128665224,-1.4816534785628035
2869,2870,F,Road,4,5,203,2,low,0,20,2421,1,2.995732273553991,0,0,0,0,1,0,1,0,0,1,0,-0.14792591116187054,-0.7425531282851267
2870,2871,A,Road,3,3,120,3,low,0,55,1534,1,4.007333185232471,1,0,0,0,0,0,1,0,0,1,0,-1.8715807411809233,-1.2848045846096092
2871,2872,B,Road,3,5,194,4,medium,0,21,2695,1,3.044522437723423,0,1,0,0,0,0,1,0,0,0,1,-0.33482824212779194,-0.5750481688342719
2872,2873,C,Flight,4,2,257,4,high,1,58,2269,1,4.060443010546419,0,0,1,0,0,1,0,0,1,0,0,0.9734880746336577,-0.8354755875425351
2873,2874,F,Flight,4,4,233,2,medium,1,39,2291,1,3.6635616461296463,0,0,0,0,1,1,0,0,0,0,1,0.475081858724534,-0.822026284228963
2874,2875,D,Flight,5,2,193,2,low,0,1,2775,1,0.0,0,0,0,1,0,1,0,0,0,1,0,-0.3555951677906721,-0.5261416113303727
2876,2877,A,Flight,4,5,270,3,low,1,30,2720,1,3.4011973816621555,1,0,0,0,0,1,0,0,0,1,0,1.2434581082510996,-0.5597648696143034
2877,2878,B,Flight,5,5,240,3,medium,0,12,2723,1,2.4849066497880004,0,1,0,0,0,1,0,0,0,0,1,0.6204503383646951,-0.5579308737079072
2878,2879,C,Flight,3,2,224,3,medium,1,63,2085,1,4.143134726391533,0,0,1,0,0,1,0,0,0,0,1,0.28817952775861266,-0.9479606698015034
2879,2880,F,Flight,4,1,195,2,medium,1,19,2878,1,2.9444389791664403,0,0,0,0,1,1,0,0,0,0,1,-0.31406131646491176,-0.46317441854410246
2880,2881,D,Flight,3,2,165,3,medium,1,47,1639,1,3.8501476017100584,0,0,0,1,0,1,0,0,0,0,1,-0.9370690863513164,-1.2206147278857415
2881,2882,F,Flight,4,1,164,2,medium,0,3,1124,1,1.0986122886681098,0,0,0,0,1,1,0,0,0,0,1,-0.9578360120141965,-1.5354506918170927
2882,2883,A,Flight,3,1,105,3,low,1,58,1304,1,4.060443010546419,1,0,0,0,0,1,0,0,0,1,0,-2.1830846261241255,-1.4254109374333195
2883,2884,B,Flight,3,1,248,3,low,1,9,2616,1,2.1972245773362196,0,1,0,0,0,1,0,0,0,1,0,0.7865857436677364,-0.6233433943693724
2885,2886,F,Flight,4,1,253,3,low,1,36,2591,1,3.58351893845611,0,0,0,0,1,1,0,0,0,1,0,0.8904203719821371,-0.6386266935893409
2886,2887,D,Flight,3,1,231,4,medium,0,60,3755,1,4.0943445622221,0,0,0,1,0,1,0,0,0,0,1,0.43354800739877375,0.07296371809239262
2887,2888,F,Flight,3,1,164,2,low,0,39,1532,1,3.6635616461296463,0,0,0,0,1,1,0,0,0,1,0,-0.9578360120141965,-1.2860272485472066
2888,2889,A,Flight,3,3,176,3,medium,1,14,1705,1,2.6390573296152584,1,0,0,0,0,1,0,0,0,0,1,-0.7086329040596346,-1.1802668179450246
2889,2890,B,Flight,4,3,149,3,medium,1,17,1990,1,2.833213344056216,0,1,0,0,0,1,0,0,0,0,1,-1.2693398969573988,-1.0060372068373837
